[2026-02-02T18:51:58.431+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-02T18:51:58.546+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: sales_ingestion_pipeline.trigger_silver_cleaning scheduled__2026-02-02T16:45:00+00:00 [queued]>
[2026-02-02T18:51:58.567+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: sales_ingestion_pipeline.trigger_silver_cleaning scheduled__2026-02-02T16:45:00+00:00 [queued]>
[2026-02-02T18:51:58.568+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-02T18:51:58.620+0000] {taskinstance.py:2330} INFO - Executing <Task(TriggerDagRunOperator): trigger_silver_cleaning> on 2026-02-02 16:45:00+00:00
[2026-02-02T18:51:58.700+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'sales_ingestion_pipeline', 'trigger_silver_cleaning', 'scheduled__2026-02-02T16:45:00+00:00', '--job-id', '573', '--raw', '--subdir', 'DAGS_FOLDER/ingest_sales_dag.py', '--cfg-path', '/tmp/tmpsxltle1b']
[2026-02-02T18:51:58.715+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=49) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-02T18:51:58.749+0000] {standard_task_runner.py:91} INFO - Job 573: Subtask trigger_silver_cleaning
[2026-02-02T18:51:58.756+0000] {standard_task_runner.py:64} INFO - Started process 58 to run task
[2026-02-02T18:51:58.900+0000] {task_command.py:426} INFO - Running <TaskInstance: sales_ingestion_pipeline.trigger_silver_cleaning scheduled__2026-02-02T16:45:00+00:00 [running]> on host 82ba14aed132
[2026-02-02T18:51:59.230+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='you' AIRFLOW_CTX_DAG_ID='sales_ingestion_pipeline' AIRFLOW_CTX_TASK_ID='trigger_silver_cleaning' AIRFLOW_CTX_EXECUTION_DATE='2026-02-02T16:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-02T16:45:00+00:00'
[2026-02-02T18:51:59.233+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-02T18:52:05.643+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:175 SyntaxWarning: invalid escape sequence '\d'
[2026-02-02T18:52:05.645+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:222 SyntaxWarning: invalid escape sequence '\d'
